"objectid","title","creator","date","description","subject","location","latitude","longitude","source","identifier","type","format","language","rights","rightsstatement","display_template","object_location","image_small","image_thumb","image_alt_text","object_transcript"
"demo_001","Untitled [Rāmānandī holyman showing the sūrya mudrā]","Prema Goet and Jagadish Das Tyagi",2016,"A black-and-white photograph depicting a South Asian sādhu (holy man) named Jagadish Das Tyagi of the Rāmānandī Sampradāya, a Vaishnava religious order, showing the Sūrya-mudrā hand-gesture that is used during the practice of dhūnī tapasya.","mudrā; vaishnava; hand; yoga; sādhu; dhūnī tapasya; Hinduism; rāmānandī; yogīn","Ujjain, India",23.1803556074239,75.7803966548923,"This photograph was taken by Prema Goet during the Kumbha Mela in Ujjain, India, in 2016, and printed at Fotoleutner in Vienna in 2025. It was acquired by Task Force 3 of The Mantrams Project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within The Mantrams Project exhibition Dhun-Dhūnī, “The Fires of the Name,” present­ed during the Yoga Darśana Conference – Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibet­an Studies at the University of Vienna in 2025.","MANTRAMS_TF3_GOET_RC6_ RAMANANDI-L0001","Image;StillImage","image/jpeg","eng",,,"image","/objects/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L0001.jpeg","/objects/small/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L0001_sm.jpg","/objects/thumbs/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L0001_th.jpg",,
"demo_002","Untitled [Rāmānandī holyman displaying the sūrya mudrā whilst practising dhūni-tap, fire pen­ance, religious austerity - tapasya, yoga]","Prema Goet and Jagadish Das Tyagi",2016,"A black-and-white photograph depicting Jagadish Das Tyagi, a South Asian sādhu (holy man) of the Rāmānandī Sampradāya, a Vaishnava religious order, showing the Sūrya-mudrā hand-gesture that is used during the practice of dhūnī tapasya.","mudrā; vaishnava; fire; yoga; rama; dhūnī tapasya; Hinduism; rāmānandī; yogīn","Ujjain, India",23.1803556074239,75.7803966548923,"This photograph was taken by Prema Goet during the Kumbha Mela in Ujjain, India, in 2016, and printed at Fotoleutner in Vienna in 2025. It was acquired by Task Force 3 of The Mantrams Project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within The Mantrams Project exhibition Dhun-Dhūnī, “The Fires of the Name,” present­ed during the Yoga Darśana Conference – Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibet­an Studies at the University of Vienna in 2025.","MANTRAMS_TF3_GOET_RC6_ RAMANANDI-L1006232","Image;StillImage","image/jpeg","eng",,,"image","/objects/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L1006232.jpeg","/objects/small/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L1006232_sm.jpg","/objects/thumbs/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L1006232_th.jpg",,
"demo_003","Untitled [Rāmānandī holyman displaying the śīrṣāsana – an inverted yogic posture while practic­ing dhūni-tap, fire penance, religious austerity, tapasya, yoga]","Prema Goet and Sri Ram Balak Das",2019,"A black-and-white photograph depicting Sri Ram Balak Das, a South Asian sādhu (holy man) of the Rāmānandī Sampradāya, a Vaishnava religious order, engaged in yogic penance (dhūnī tapasya) on the first day of spring in 2019. The religious adept occupies the centre of the image, displaying the śīrṣāsana – an inverted yogic posture while practicing dhūni-tap. He is encircled by a ring of blazing cow-dung fires. Here, the adept practices nām-jap, the repetitive utterance of sacred names such as “Rāma Rāma Rāma Rāma Rāma…”","śīrṣāsana; vaishnava; fire; yoga; sādhu; dhūnī tapasya; Hinduism; rāmānandī; yogīn","Ujjain, India",23.1803556074239,75.7803966548923,"This photograph was taken by Prema Goet during the Kumbha Mela in Allahabad, India, in 2019, and printed at Fotoleutner in Vienna in 2025. It was acquired by Task Force 3 of The Mantrams Project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within The Mantrams Project exhibition Dhun-Dhūnī, “The Fires of the Name,” present­ed during the Yoga Darśana Conference – Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibet­an Studies at the University of Vienna in 2025.","MANTRAMS_TF3_GOET_RC6_ RAMANANDI-L1007220","Image;StillImage","image/jpeg","eng",,,"image","/objects/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L1007220.jpeg","/objects/small/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L1007220_sm.jpg","/objects/thumbs/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L1007220_th.jpg",,
"demo_004","Untitled [Rāmānandī holyman displaying an inverted lotus position while practicing dhūni-tap, fire penance, religious austerity, tapasya, yoga]","Prema Goet and Sri Ram Balak Das",2019,"A black-and-white photograph depicting Sri Ram Balak Das, a South Asian sādhu (holy man) of the Rāmānandī Sampradāya, a Vaishnava religious order, engaged in yogic penance (dhūnī tapasya) on the first day of spring in 2019. The religious adept occupies the centre of the image, displaying an inverted lotus posture. He is encircled by a ring of blazing cow-dung fires. Here, the adept practices nām-jap, the repetitive utterance of sacred names such as “Rāma Rāma Rāma Rāma Rāma…”.","dung; vaishnava; fire; yoga; sādhu; dhūnī tapasya; Hinduism; rāmānandī; yogīn","Ujjain, India",23.1803556074239,75.7803966548923,"This photograph was taken by Prema Goet during the Kumbha Mela in Allahabad, India, in 2019, and printed at Fotoleutner in Vienna in 2025. It was acquired by Task Force 3 of The Mantrams Project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within The Mantrams Project exhibition Dhun-Dhūnī, “The Fires of the Name,” present­ed during the Yoga Darśana Conference – Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibet­an Studies at the University of Vienna in 2025.","MANTRAMS_TF3_GOET_RC6_ RAMANANDI-L1007244","Image;StillImage","image/jpeg","eng",,,"image","/objects/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L1007244.jpeg","/objects/small/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L1007244_sm.jpg","/objects/thumbs/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L1007244_th.jpg",,
"demo_005","Untitled [Rāmānandī holymen performing the saṁkalpa ritual prior to the commence of dhūni-tap, fire penance or religious austerity - tapasya and yoga]","Prema Goet and various Rāmānandī holymen",2019,"A black-and-white photograph depicting various South Asian sādhus (holy men) of the Rāmānandī Sampradāya, a Vaishnava religious order, performing the saṁkalpa ritual – a ritual that is performed prior to the commencement of the yogic penance (dhūnī tapasya) on the first day of spring in 2019. The religious adepts at the centre of the image, seated postures, pour oblations onto the sacrificial fire whilst uttering mantras. Their bodies bear tilak markings characteristic of Vaishnavas – devotees of Viṣṇu.","tilak; vaishnava; fire; yoga; sādhu; dhūnī tapasya; Hinduism; rāmānandī; yogīn","Ujjain, India",23.1803556074239,75.7803966548923,"This photograph was taken by Prema Goet during the Kumbha Mela in Allahabad, India, in 2019, and printed at Fotoleutner in Vienna in 2025. It was acquired by Task Force 3 of The Mantrams Project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within The Mantrams Project exhibition Dhun-Dhūnī, “The Fires of the Name,” present­ed during the Yoga Darśana Conference – Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibet­an Studies at the University of Vienna in 2025.","MANTRAMS_TF3_GOET_RC6_ RAMANANDI-L1009606","Image;StillImage","image/jpeg","eng",,,"image","/objects/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L1009606.jpeg","/objects/small/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L1009606_sm.jpg","/objects/thumbs/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L1009606_th.jpg",,
"demo_006","Untitled [Rāmānandī holy man practising dhūni-tap, fire penance, religious austerity - tapasya, yoga] ","Prema Goet and Phalari Ji Tyagi",2019,"A black-and-white photograph depicting a South Asian sādhu (holy man) of the Rāmānandī Sam­pradāya, a Vaishnava religious order, engaged in yogic penance (dhūnī tapasya) on the first day of spring in 2019. The religious adept occupies the centre of the image, seated in a yogic posture while balancing a clay pot filled with burning cow dung on his head. His body bears tilak markings charac­teristic of Vaishnavas – devotees of Viṣṇu – and he wears a floral garland. He is encircled by a ring of blazing cow-dung fires. Here, the adept practices nām-jap, the repetitive utterance of sacred names such as “Rāma Rāma Rāma Rāma Rāma…”.","tilak; vaishnava; fire; yoga; sādhu; dhūnī tapasya; Hinduism; rāmānandī; yogīn","Ujjain, India",23.1803556074239,75.7803966548923,"This photograph was taken by Prema Goet during the Kumbha Mela in Allahabad, India, in 2019, and printed at Fotoleutner in Vienna in 2025. It was acquired by Task Force 3 of The Mantrams Project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within The Mantrams Project exhibition Dhun-Dhūnī, “The Fires of the Name,” present­ed during the Yoga Darśana Conference – Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibet­an Studies at the University of Vienna in 2025.","MANTRAMS_TF3_GOET_RC6_ RAMANANDI-L11009783","Image;StillImage","image/jpeg","eng",,,"image","/objects/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L11009783.jpeg","/objects/small/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L11009783_sm.jpg","/objects/thumbs/MANTRAMS_TF3_GOET_RC6_RAMANANDI-L11009783_th.jpg",,
"demo_007","Untitled [Rāmānandī holymen performing the saṁkalpa ritual prior to the commence of dhūnitap, fire penance or religious austerity - tapasya and yoga]","Prema Goet and Vynayaka Tyagi",2019,"A black-and-white photograph depicting various South Asian sādhus (holy men) of the Rāmānandī Sampradāya, a Vaishnava religious order, performing the saṁkalpa ritual – a ritual that is performed prior to the commencement of the yogic penance (dhūnī tapasya) on the first day of spring in 2019. The religious adepts at the centre of the image, seated postures, pour oblations onto the sacrificial fire whilst uttering mantras. Their bodies bear tilak markings characteristic of Vaishnavas – devotees of Viṣṇu.","tilak; vaishnava; fire; yoga; sādhu; dhūnī tapasya; Hinduism; rāmānandī; yogīn","Ujjain, India",23.1803556074239,75.7803966548923,"This photograph was taken by Prema Goet during the Kumbha Mela in Allahabad, India, in 2019, and printed at Fotoleutner in Vienna in 2025. It was acquired by Task Force 3 of The Mantrams Project as part of Goet’s doctoral research at the University of Vienna. Between 2025 and 2028, the photograph was exhibited within The Mantrams Project exhibition Dhun-Dhūnī, “The Fires of the Name,” present­ed during the Yoga Darśana Conference – Yoga Darśana, Yoga Sādhana: Authenticity, Authority, and Adaptation in Paris, as well as in an exhibition at the Department of South Asian, Buddhist and Tibet­an Studies at the University of Vienna in 2025.","MANTRAMS_TF3_GOET_RC6_L1009807 ","Image;StillImage","image/jpeg","eng",,,"image","/objects/MANTRAMS_TF3_GOET_RC6_L1009807.jpeg","/objects/small/MANTRAMS_TF3_GOET_RC6_L1009807_sm.jpg","/objects/thumbs/MANTRAMS_TF3_GOET_RC6_L1009807_th.jpg",,
